ccd,Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,tot_amount,Sales Method
T002,Foot Locker,2021-02-24 00:00:00,Midwest,Iowa,Des Moines,Women's Athletic Footwear,25,75,1875,In-store
S011,Sports Direct,2021-02-24 00:00:00,Northeast,Rhode Island,Providence,Men's Apparel,58,44,2552,Online
Y001,Foot Locker,2021-02-24 00:00:00,Southeast,Virginia,Richmond,Women's Athletic Footwear,47,69,3243,Online
N002,West Gear,2021-02-25 00:00:00,Northeast,West Virginia,Charleston,Men's Athletic Footwear,34,38,1292,Online
P003,Kohl's,2021-02-27 00:00:00,West,California,San Francisco,Men's Athletic Footwear,35,224,7840,Outlet
V002,West Gear,2021-02-27 00:00:00,West,Colorado,Denver,Men's Street Footwear,52,150,7800,Online
P006,Foot Locker,2021-02-27 00:00:00,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,54,53,2862,Online
S009,Sports Direct,2021-02-28 00:00:00,Northeast,Connecticut,Hartford,Men's Athletic Footwear,48,94,4512,Online
T003,Sports Direct,2021-02-28 00:00:00,West,Hawaii,Honolulu,Women's Athletic Footwear,50,275,13750,Outlet
P002,West Gear,2021-02-28 00:00:00,Midwest,Wisconsin,Milwaukee,Women's Apparel,38,52,1976,Online
M010,Sports Direct,2021-03-01 00:00:00,South,Alabama,Birmingham,Men's Street Footwear,29,131,3799,Online
N002,West Gear,2021-03-01 00:00:00,South,Louisiana,New Orleans,Women's Street Footwear,83,203,16849,Online
R011,Amazon,2021-03-02 00:00:00,Southeast,Kentucky,Louisville,Women's Street Footwear,33,65,2145,Online
N007,West Gear,2021-03-02 00:00:00,Northeast,New York,Albany,Women's Street Footwear,34,152,5168,Online
S003,Sports Direct,2021-03-02 00:00:00,Midwest,North Dakota,Fargo,Women's Athletic Footwear,28,44,1232,Online
A008,Foot Locker,2021-03-02 00:00:00,Northeast,Rhode Island,Providence,Women's Street Footwear,23,51,1173,Online
D003,Amazon,2021-03-02 00:00:00,Northeast,Vermont,Burlington,Men's Apparel,67,80,5360,Online
M003,Foot Locker,2021-03-02 00:00:00,Southeast,Virginia,Richmond,Men's Street Footwear,83,240,19920,Online
N002,Walmart,2021-03-03 00:00:00,South,Arkansas,Little Rock,Men's Apparel,35,250,8750,Online
A011,Foot Locker,2021-03-03 00:00:00,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,55,300,16500,Outlet
M002,Sports Direct,2021-03-03 00:00:00,Midwest,North Dakota,Fargo,Men's Athletic Footwear,27,58,1566,Online
R005,Foot Locker,2021-03-04 00:00:00,West,Arizona,Phoenix,Women's Athletic Footwear,40,78,3120,Outlet
T002,West Gear,2021-03-05 00:00:00,South,Arkansas,Little Rock,Women's Athletic Footwear,20,225,4500,Online
B001,West Gear,2021-03-05 00:00:00,Northeast,New York,Albany,Men's Athletic Footwear,50,625,31250,In-store
S006,Foot Locker,2021-03-06 00:00:00,Northeast,Rhode Island,Providence,Women's Street Footwear,38,75,2850,Online
N012,Foot Locker,2021-03-07 00:00:00,West,Arizona,Phoenix,Men's Street Footwear,31,150,4650,Outlet
R009,West Gear,2021-03-07 00:00:00,West,Colorado,Denver,Men's Street Footwear,55,131,7205,Online
M002,West Gear,2021-03-08 00:00:00,South,Louisiana,New Orleans,Women's Street Footwear,56,116,6496,Online
K005,Amazon,2021-03-08 00:00:00,Northeast,Maine,Portland,Women's Athletic Footwear,34,19,646,Online
C001,West Gear,2021-03-08 00:00:00,West,Utah,Salt Lake City,Men's Apparel,29,105,3045,Online
M003,Amazon,2021-03-10 00:00:00,South,Alabama,Birmingham,Men's Street Footwear,40,450,18000,Outlet
K006,Walmart,2021-03-10 00:00:00,South,Arkansas,Little Rock,Women's Street Footwear,10,350,3500,Online
S001,Sports Direct,2021-03-10 00:00:00,South,Tennessee,Knoxville,Men's Apparel,50,400,20000,Outlet
N010,Sports Direct,2021-03-11 00:00:00,Midwest,North Dakota,Fargo,Women's Apparel,49,68,3332,Online
D002,Sports Direct,2021-03-11 00:00:00,Midwest,South Dakota,Sioux Falls,Men's Apparel,43,49,2107,Online
D003,Walmart,2021-03-12 00:00:00,South,Arkansas,Little Rock,Men's Street Footwear,19,204,3876,Outlet
N002,West Gear,2021-03-12 00:00:00,Southeast,Florida,Miami,Women's Athletic Footwear,38,189,7182,Online
V003,Sports Direct,2021-03-12 00:00:00,Southeast,Georgia,Atlanta,Women's Athletic Footwear,40,250,10000,Online
M003,West Gear,2021-03-12 00:00:00,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,49,84,4116,Online
R008,Amazon,2021-03-12 00:00:00,Northeast,New Hampshire,Manchester,Men's Apparel,65,300,19500,In-store
K001,Foot Locker,2021-03-13 00:00:00,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60,275,16500,Outlet
A004,Kohl's,2021-03-15 00:00:00,Northeast,Delaware,Wilmington,Men's Athletic Footwear,50,100,5000,Online
P003,Walmart,2021-03-15 00:00:00,Northeast,New York,New York,Women's Athletic Footwear,41,270,11070,Outlet
M003,Foot Locker,2021-03-15 00:00:00,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75,250,18750,Outlet
R005,Kohl's,2021-03-16 00:00:00,West,Arizona,Phoenix,Men's Street Footwear,33,133,4389,Online
D001,Foot Locker,2021-03-16 00:00:00,Northeast,New Hampshire,Manchester,Men's Street Footwear,36,165,5940,Outlet
V003,West Gear,2021-03-17 00:00:00,West,Nevada,Las Vegas,Men's Street Footwear,44,238,10472,Outlet
S006,West Gear,2021-03-17 00:00:00,West,Oregon,Portland,Women's Apparel,34,140,4760,Outlet
N012,West Gear,2021-03-18 00:00:00,Midwest,Indiana,Indianapolis,Men's Street Footwear,23,125,2875,Online
D001,Kohl's,2021-03-18 00:00:00,West,Wyoming,Cheyenne,Men's Apparel,50,500,25000,In-store
A011,West Gear,2021-03-19 00:00:00,West,Nevada,Las Vegas,Men's Apparel,75,475,35625,In-store
D004,Foot Locker,2021-03-19 00:00:00,Southeast,Virginia,Richmond,Men's Athletic Footwear,55,450,24750,In-store
A006,West Gear,2021-03-20 00:00:00,West,Colorado,Denver,Men's Athletic Footwear,60,575,34500,In-store
N005,Kohl's,2021-03-20 00:00:00,Midwest,Montana,Billings,Women's Street Footwear,45,550,24750,Outlet
P013,Foot Locker,2021-03-20 00:00:00,Southeast,South Carolina,Charleston,Men's Street Footwear,35,975,34125,Online
P004,Kohl's,2021-03-21 00:00:00,Midwest,Kansas,Wichita,Men's Street Footwear,55,675,37125,Online
A002,Foot Locker,2021-03-21 00:00:00,Midwest,Nebraska,Omaha,Women's Street Footwear,30,50,1500,Outlet
M003,Foot Locker,2021-03-22 00:00:00,Midwest,Illinois,Chicago,Women's Athletic Footwear,45,75,3375,Outlet
Y002,Kohl's,2021-03-22 00:00:00,West,New Mexico,Albuquerque,Men's Street Footwear,55,210,11550,Online
Y001,West Gear,2021-03-23 00:00:00,West,Utah,Salt Lake City,Women's Street Footwear,29,113,3277,Online
M009,Sports Direct,2021-03-24 00:00:00,South,Alabama,Birmingham,Men's Street Footwear,30,525,15750,Outlet
N011,Amazon,2021-03-25 00:00:00,Northeast,Maine,Portland,Women's Apparel,58,113,6554,Online
S010,Foot Locker,2021-03-26 00:00:00,Midwest,Illinois,Chicago,Men's Street Footwear,60,425,25500,Outlet
R002,Sports Direct,2021-03-26 00:00:00,Midwest,North Dakota,Fargo,Men's Street Footwear,30,450,13500,Online
R006,Foot Locker,2021-03-26 00:00:00,Northeast,Rhode Island,Providence,Men's Athletic Footwear,50,200,10000,In-store
R009,Kohl's,2021-03-27 00:00:00,West,California,Los Angeles,Women's Apparel,62,174,10788,Online
R006,Sports Direct,2021-03-27 00:00:00,Midwest,Michigan,Detroit,Men's Athletic Footwear,37,167,6179,Online
S002,Foot Locker,2021-03-27 00:00:00,Midwest,Missouri,St. Louis,Men's Athletic Footwear,35,325,11375,In-store
S007,Kohl's,2021-03-27 00:00:00,West,New Mexico,Albuquerque,Men's Apparel,40,145,5800,Outlet
M008,West Gear,2021-03-28 00:00:00,West,Nevada,Las Vegas,Women's Apparel,68,94,6392,Online
R007,Foot Locker,2021-03-28 00:00:00,Northeast,Pennsylvania,Philadelphia,Women's Apparel,70,350,24500,Outlet
A004,West Gear,2021-03-29 00:00:00,South,Louisiana,New Orleans,Women's Athletic Footwear,82,161,13202,Online
S005,Amazon,2021-03-29 00:00:00,Northeast,Massachusetts,Boston,Men's Street Footwear,49,120,5880,Outlet
S005,Sports Direct,2021-03-30 00:00:00,Northeast,Connecticut,Hartford,Women's Street Footwear,45,300,13500,In-store
R003,Foot Locker,2021-03-30 00:00:00,Northeast,Rhode Island,Providence,Men's Street Footwear,47,138,6486,Online
A012,Foot Locker,2021-03-30 00:00:00,Southeast,Virginia,Richmond,Women's Street Footwear,46,95,4370,Online
A006,Foot Locker,2021-04-01 00:00:00,Midwest,South Dakota,Sioux Falls,Men's Apparel,48,46,2208,Online
P002,West Gear,2021-04-02 00:00:00,South,Arkansas,Little Rock,Women's Apparel,70,150,10500,Online
M010,Sports Direct,2021-04-02 00:00:00,Northeast,Massachusetts,Boston,Women's Apparel,60,325,19500,In-store
S003,Sports Direct,2021-04-02 00:00:00,Midwest,North Dakota,Fargo,Men's Apparel,58,30,1740,Online
M002,West Gear,2021-04-02 00:00:00,South,Oklahoma,Oklahoma City,Men's Apparel,22,68,1496,Outlet
P010,Amazon,2021-04-02 00:00:00,Northeast,Vermont,Burlington,Women's Apparel,70,94,6580,Online
P010,West Gear,2021-04-02 00:00:00,Northeast,West Virginia,Charleston,Men's Athletic Footwear,28,75,2100,Online
P006,Foot Locker,2021-04-03 00:00:00,Midwest,Illinois,Chicago,Men's Apparel,46,51,2346,Online
J001,West Gear,2021-04-03 00:00:00,Midwest,Indiana,Indianapolis,Men's Apparel,55,75,4125,Online
N002,Foot Locker,2021-04-03 00:00:00,Midwest,Missouri,St. Louis,Men's Athletic Footwear,27,72,1944,Online
P011,Sports Direct,2021-04-04 00:00:00,South,Alabama,Birmingham,Women's Athletic Footwear,60,350,21000,Outlet
M001,Kohl's,2021-04-04 00:00:00,West,California,Los Angeles,Men's Street Footwear,34,225,7650,Online
N012,Sports Direct,2021-04-04 00:00:00,Northeast,Connecticut,Hartford,Women's Athletic Footwear,32,74,2368,Outlet
R007,Sports Direct,2021-04-04 00:00:00,Northeast,Massachusetts,Boston,Women's Street Footwear,29,41,1189,Online
Y001,West Gear,2021-04-04 00:00:00,West,Nevada,Las Vegas,Women's Athletic Footwear,60,300,18000,Outlet
S012,Amazon,2021-04-04 00:00:00,Midwest,Ohio,Columbus,Men's Street Footwear,65,875,56875,Online
V002,Walmart,2021-04-05 00:00:00,South,Texas,Houston,Women's Apparel,44,289,12716,Outlet
N009,Kohl's,2021-04-06 00:00:00,West,New Mexico,Albuquerque,Women's Athletic Footwear,50,83,4150,Online
A004,West Gear,2021-04-06 00:00:00,West,Washington,Seattle,Women's Street Footwear,65,425,27625,In-store
B001,Sports Direct,2021-04-07 00:00:00,South,Alabama,Birmingham,Men's Athletic Footwear,16,218,3488,Outlet
M009,Sports Direct,2021-04-07 00:00:00,Midwest,North Dakota,Fargo,Men's Athletic Footwear,45,300,13500,In-store
R004,Sports Direct,2021-04-08 00:00:00,Southeast,Georgia,Atlanta,Women's Street Footwear,54,150,8100,Online
M003,Sports Direct,2021-04-08 00:00:00,Northeast,Massachusetts,Boston,Women's Apparel,60,325,19500,In-store
G001,Sports Direct,2021-04-09 00:00:00,Northeast,New Jersey,Newark,Men's Street Footwear,60,400,24000,In-store
K002,Sports Direct,2021-04-10 00:00:00,South,Alabama,Birmingham,Women's Apparel,26,190,4940,Outlet
P003,Amazon,2021-04-10 00:00:00,Northeast,Maine,Portland,Women's Apparel,38,68,2584,Online
V002,West Gear,2021-04-11 00:00:00,West,California,San Francisco,Men's Street Footwear,28,289,8092,Outlet
M012,Kohl's,2021-04-11 00:00:00,Midwest,Montana,Billings,Women's Athletic Footwear,41,116,4756,Online
M003,Sports Direct,2021-04-12 00:00:00,Southeast,North Carolina,Charlotte,Women's Street Footwear,40,595,23800,Online
R003,Foot Locker,2021-04-12 00:00:00,Southeast,Virginia,Richmond,Women's Athletic Footwear,32,68,2176,Outlet
A009,Sports Direct,2021-04-14 00:00:00,Northeast,Massachusetts,Boston,Men's Apparel,41,80,3280,Outlet
P004,Foot Locker,2021-04-14 00:00:00,Midwest,Minnesota,Minneapolis,Men's Apparel,45,150,6750,Outlet
I001,Kohl's,2021-04-15 00:00:00,Midwest,Montana,Billings,Men's Street Footwear,45,575,25875,Outlet
M003,West Gear,2021-04-15 00:00:00,Northeast,New York,Albany,Women's Athletic Footwear,45,575,25875,In-store
P011,West Gear,2021-04-15 00:00:00,South,Oklahoma,Oklahoma City,Women's Street Footwear,10,70,700,Outlet
B001,Foot Locker,2021-04-16 00:00:00,Midwest,Iowa,Des Moines,Men's Apparel,30,150,4500,In-store
P002,Amazon,2021-04-16 00:00:00,Northeast,Vermont,Burlington,Women's Apparel,65,450,29250,In-store
Y002,Foot Locker,2021-04-17 00:00:00,Northeast,Delaware,Wilmington,Women's Street Footwear,45,300,13500,In-store
I002,Foot Locker,2021-04-17 00:00:00,South,Mississippi,Jackson,Women's Apparel,17,136,2312,Outlet
R011,Kohl's,2021-04-17 00:00:00,West,New Mexico,Albuquerque,Men's Apparel,57,145,8265,Online
S001,Kohl's,2021-04-19 00:00:00,West,California,Los Angeles,Women's Athletic Footwear,33,193,6369,Outlet
K007,Foot Locker,2021-04-19 00:00:00,Midwest,Michigan,Detroit,Men's Athletic Footwear,28,94,2632,Online
S005,Foot Locker,2021-04-19 00:00:00,South,Mississippi,Jackson,Men's Street Footwear,45,750,33750,Online
M005,Kohl's,2021-04-19 00:00:00,West,New Mexico,Albuquerque,Women's Athletic Footwear,43,74,3182,Online
B001,Amazon,2021-04-20 00:00:00,Northeast,Maine,Portland,Women's Athletic Footwear,45,175,7875,Outlet
R003,Foot Locker,2021-04-20 00:00:00,Midwest,South Dakota,Sioux Falls,Men's Apparel,41,51,2091,Online
N009,West Gear,2021-04-20 00:00:00,West,Utah,Salt Lake City,Men's Apparel,24,88,2112,Outlet
S011,West Gear,2021-04-20 00:00:00,Northeast,West Virginia,Charleston,Women's Apparel,65,475,30875,In-store
M005,Foot Locker,2021-04-21 00:00:00,Northeast,Connecticut,Hartford,Men's Apparel,60,78,4680,Online
K005,West Gear,2021-04-21 00:00:00,West,Idaho,Boise,Women's Apparel,25,124,3100,Outlet
P013,Foot Locker,2021-04-21 00:00:00,South,Mississippi,Jackson,Women's Athletic Footwear,35,375,13125,Online
S007,Foot Locker,2021-04-22 00:00:00,Northeast,Connecticut,Hartford,Women's Athletic Footwear,29,20,580,Online
T002,Foot Locker,2021-04-22 00:00:00,South,Mississippi,Jackson,Men's Street Footwear,44,210,9240,Online
R007,Kohl's,2021-04-22 00:00:00,West,Wyoming,Cheyenne,Women's Athletic Footwear,45,475,21375,In-store
Y001,Sports Direct,2021-04-23 00:00:00,South,Alabama,Birmingham,Women's Street Footwear,33,196,6468,Outlet
J001,Foot Locker,2021-04-23 00:00:00,West,Arizona,Phoenix,Women's Street Footwear,37,119,4403,Outlet
R010,West Gear,2021-04-24 00:00:00,West,California,San Francisco,Women's Apparel,56,264,14784,Outlet
N006,West Gear,2021-04-24 00:00:00,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,41,87,3567,Online
R004,Sports Direct,2021-04-24 00:00:00,Midwest,Michigan,Detroit,Men's Apparel,43,94,4042,Online
M005,Foot Locker,2021-04-24 00:00:00,Northeast,West Virginia,Charleston,Men's Street Footwear,35,425,14875,In-store
M006,Sports Direct,2021-04-25 00:00:00,Southeast,Georgia,Atlanta,Women's Athletic Footwear,45,325,14625,Online
D003,Foot Locker,2021-04-25 00:00:00,South,Mississippi,Jackson,Men's Apparel,25,104,2600,Outlet
P002,West Gear,2021-04-25 00:00:00,Northeast,Vermont,Burlington,Men's Athletic Footwear,47,98,4606,Outlet
A006,West Gear,2021-04-25 00:00:00,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,24,47,1128,Online
A013,West Gear,2021-04-26 00:00:00,West,Colorado,Denver,Men's Athletic Footwear,38,111,4218,Online
M003,Walmart,2021-04-26 00:00:00,Southeast,Florida,Orlando,Women's Athletic Footwear,41,90,3690,Outlet
S010,West Gear,2021-04-26 00:00:00,West,Nevada,Las Vegas,Men's Street Footwear,60,550,33000,Outlet
J001,West Gear,2021-04-27 00:00:00,Northeast,New York,Albany,Men's Street Footwear,60,875,52500,In-store
R007,Sports Direct,2021-04-27 00:00:00,South,Texas,Dallas,Women's Apparel,45,800,36000,Outlet
R003,Foot Locker,2021-04-29 00:00:00,West,Hawaii,Honolulu,Men's Athletic Footwear,58,98,5684,Online
N002,Amazon,2021-04-29 00:00:00,Northeast,Massachusetts,Boston,Women's Street Footwear,51,98,4998,Online
Y002,West Gear,2021-04-29 00:00:00,Northeast,New York,Albany,Men's Street Footwear,50,261,13050,Online
H001,Foot Locker,2021-04-30 00:00:00,South,Mississippi,Jackson,Women's Apparel,47,140,6580,Online
A011,West Gear,2021-04-30 00:00:00,West,Washington,Seattle,Men's Apparel,90,425,38250,In-store
N001,West Gear,2021-05-01 00:00:00,South,Louisiana,New Orleans,Women's Apparel,34,143,4862,Online
A002,Sports Direct,2021-05-02 00:00:00,Southeast,Florida,Miami,Women's Street Footwear,46,224,10304,Online
A013,Kohl's,2021-05-04 00:00:00,Midwest,Montana,Billings,Women's Apparel,56,133,7448,Online
S006,Sports Direct,2021-05-04 00:00:00,South,Texas,Dallas,Men's Apparel,50,500,25000,Outlet
M003,Foot Locker,2021-05-05 00:00:00,West,Hawaii,Honolulu,Women's Apparel,100,550,55000,Outlet
A013,Sports Direct,2021-05-05 00:00:00,South,Texas,Dallas,Men's Athletic Footwear,23,215,4945,Outlet
M010,Sports Direct,2021-05-06 00:00:00,Northeast,New Jersey,Newark,Women's Street Footwear,30,250,7500,In-store
K005,Foot Locker,2021-05-07 00:00:00,Northeast,Maryland,Baltimore,Men's Apparel,56,20,1120,Online
R004,Foot Locker,2021-05-07 00:00:00,Midwest,Minnesota,Minneapolis,Men's Street Footwear,50,350,17500,Outlet
J001,Sports Direct,2021-05-07 00:00:00,South,Texas,Houston,Women's Apparel,39,189,7371,Online
R001,Amazon,2021-05-08 00:00:00,Northeast,Vermont,Burlington,Men's Athletic Footwear,55,400,22000,In-store
P003,Sports Direct,2021-05-09 00:00:00,South,Mississippi,Jackson,Men's Street Footwear,25,700,17500,Online
K002,Sports Direct,2021-05-09 00:00:00,South,Tennessee,Knoxville,Men's Athletic Footwear,20,240,4800,Outlet
V003,Kohl's,2021-05-10 00:00:00,West,Arizona,Phoenix,Men's Apparel,55,350,19250,Online
K004,Sports Direct,2021-05-10 00:00:00,Northeast,Massachusetts,Boston,Men's Athletic Footwear,50,250,12500,In-store
A012,Sports Direct,2021-05-11 00:00:00,South,Alabama,Birmingham,Men's Street Footwear,45,825,37125,Outlet
P009,Kohl's,2021-05-12 00:00:00,West,Arizona,Phoenix,Women's Street Footwear,35,132,4620,Outlet
K007,West Gear,2021-05-12 00:00:00,West,Colorado,Denver,Men's Apparel,56,39,2184,Online
M001,Sports Direct,2021-05-12 00:00:00,Northeast,Connecticut,Hartford,Women's Street Footwear,29,56,1624,Online
A002,West Gear,2021-05-12 00:00:00,West,Utah,Salt Lake City,Men's Apparel,38,112,4256,Online
A004,Sports Direct,2021-05-13 00:00:00,South,Alabama,Birmingham,Women's Street Footwear,47,217,10199,Outlet
I001,West Gear,2021-05-13 00:00:00,West,Colorado,Denver,Women's Athletic Footwear,60,275,16500,In-store
B001,Foot Locker,2021-05-13 00:00:00,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,38,113,4294,Online
R008,Sports Direct,2021-05-13 00:00:00,Southeast,Virginia,Richmond,Men's Athletic Footwear,27,153,4131,Outlet
M003,Foot Locker,2021-05-14 00:00:00,Northeast,Connecticut,Hartford,Men's Street Footwear,34,119,4046,Online
B001,Sports Direct,2021-05-14 00:00:00,Southeast,North Carolina,Charlotte,Women's Street Footwear,28,175,4900,Online
S005,Sports Direct,2021-05-14 00:00:00,South,Texas,Dallas,Men's Apparel,34,85,2890,Online
N002,Sports Direct,2021-05-15 00:00:00,Northeast,Connecticut,Hartford,Men's Street Footwear,54,142,7668,Online
T002,Walmart,2021-05-16 00:00:00,South,Arkansas,Little Rock,Women's Street Footwear,50,450,22500,Online
M010,Walmart,2021-05-16 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,Outlet
N007,Sports Direct,2021-05-16 00:00:00,Southeast,South Carolina,Charleston,Men's Athletic Footwear,35,625,21875,Online
M011,Amazon,2021-05-17 00:00:00,Northeast,New Hampshire,Manchester,Men's Street Footwear,50,570,28500,In-store
A004,Sports Direct,2021-05-17 00:00:00,Northeast,Rhode Island,Providence,Women's Apparel,40,250,10000,In-store
I001,Walmart,2021-05-18 00:00:00,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,8000,Online
M001,West Gear,2021-05-19 00:00:00,Northeast,Vermont,Burlington,Women's Apparel,71,81,5751,Online
M006,West Gear,2021-05-19 00:00:00,West,Washington,Seattle,Women's Street Footwear,73,138,10074,Online
N004,Kohl's,2021-05-20 00:00:00,Northeast,Delaware,Wilmington,Men's Athletic Footwear,32,53,1696,Online
M008,Sports Direct,2021-05-20 00:00:00,Midwest,Michigan,Detroit,Men's Athletic Footwear,50,650,32500,In-store
A007,Kohl's,2021-05-20 00:00:00,West,New Mexico,Albuquerque,Women's Apparel,75,500,37500,Online
N012,Amazon,2021-05-20 00:00:00,Northeast,Vermont,Burlington,Men's Athletic Footwear,44,99,4356,Outlet
D004,Foot Locker,2021-05-20 00:00:00,Southeast,Virginia,Richmond,Women's Street Footwear,73,195,14235,Online
D002,Kohl's,2021-05-21 00:00:00,West,California,Los Angeles,Men's Apparel,46,210,9660,Outlet
P006,Foot Locker,2021-05-21 00:00:00,Northeast,Delaware,Wilmington,Men's Apparel,45,65,2925,Online
Y002,Foot Locker,2021-05-21 00:00:00,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40,825,33000,Online
A003,West Gear,2021-05-21 00:00:00,West,Nevada,Las Vegas,Women's Athletic Footwear,57,133,7581,Online
V003,Foot Locker,2021-05-21 00:00:00,Southeast,South Carolina,Charleston,Men's Athletic Footwear,45,800,36000,Online
K005,Sports Direct,2021-05-21 00:00:00,South,Tennessee,Knoxville,Women's Apparel,65,650,42250,Outlet
P009,West Gear,2021-05-22 00:00:00,South,Louisiana,New Orleans,Men's Street Footwear,62,306,18972,Outlet
P001,West Gear,2021-05-23 00:00:00,West,Utah,Salt Lake City,Men's Street Footwear,28,248,6944,Outlet
D004,Amazon,2021-05-23 00:00:00,Northeast,Vermont,Burlington,Men's Athletic Footwear,50,85,4250,Online
R003,Walmart,2021-05-25 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1200,72000,Outlet
G001,West Gear,2021-05-26 00:00:00,Northeast,New York,Albany,Men's Apparel,56,137,7672,Online
R010,Sports Direct,2021-05-26 00:00:00,Southeast,North Carolina,Charlotte,Women's Street Footwear,53,196,10388,Online
M004,West Gear,2021-05-26 00:00:00,West,Utah,Salt Lake City,Men's Street Footwear,22,153,3366,Outlet
P002,Sports Direct,2021-05-27 00:00:00,Northeast,Connecticut,Hartford,Men's Apparel,55,275,15125,In-store
Y001,West Gear,2021-05-28 00:00:00,West,Washington,Seattle,Men's Apparel,55,225,12375,In-store
P011,Sports Direct,2021-05-29 00:00:00,West,Idaho,Boise,Women's Apparel,49,181,8869,Online
V002,Foot Locker,2021-05-29 00:00:00,Southeast,Kentucky,Louisville,Women's Street Footwear,20,475,9500,Online
K001,Sports Direct,2021-05-29 00:00:00,South,Tennessee,Knoxville,Women's Athletic Footwear,37,161,5957,Online
P006,Amazon,2021-05-30 00:00:00,West,Alaska,Anchorage,Men's Apparel,60,150,9000,Outlet
I002,Sports Direct,2021-06-01 00:00:00,South,Texas,Dallas,Women's Street Footwear,46,273,12558,Online
S008,Sports Direct,2021-06-03 00:00:00,South,Alabama,Birmingham,Men's Apparel,23,74,1702,Online
S003,Sports Direct,2021-06-03 00:00:00,South,Tennessee,Knoxville,Women's Apparel,65,750,48750,Outlet
N004,West Gear,2021-06-03 00:00:00,West,Utah,Salt Lake City,Men's Athletic Footwear,18,132,2376,Outlet
J001,Amazon,2021-06-04 00:00:00,Northeast,Vermont,Burlington,Men's Apparel,70,325,22750,In-store
D003,Kohl's,2021-06-05 00:00:00,West,Wyoming,Cheyenne,Men's Apparel,54,128,6912,Online
S004,Foot Locker,2021-06-06 00:00:00,Midwest,Iowa,Des Moines,Men's Street Footwear,20,470,9400,In-store
V001,Kohl's,2021-06-06 00:00:00,West,New Mexico,Albuquerque,Women's Street Footwear,56,126,7056,Online
D004,Foot Locker,2021-06-07 00:00:00,Northeast,New York,New York,Men's Athletic Footwear,55,1025,56375,Outlet
T001,Foot Locker,2021-06-07 00:00:00,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,30,225,6750,Online
A009,Foot Locker,2021-06-07 00:00:00,West,Wyoming,Cheyenne,Women's Street Footwear,40,350,14000,In-store
A010,Foot Locker,2021-06-08 00:00:00,Southeast,Georgia,Atlanta,Women's Apparel,30,281,8430,Outlet
K005,Sports Direct,2021-06-08 00:00:00,West,Idaho,Boise,Women's Apparel,60,725,43500,Online
M012,Foot Locker,2021-06-08 00:00:00,Midwest,Iowa,Des Moines,Men's Apparel,35,175,6125,In-store
N005,Foot Locker,2021-06-08 00:00:00,Northeast,Rhode Island,Providence,Men's Athletic Footwear,45,300,13500,In-store
N002,Kohl's,2021-06-09 00:00:00,West,California,Los Angeles,Women's Athletic Footwear,50,650,32500,Outlet
N009,Kohl's,2021-06-09 00:00:00,Northeast,New Jersey,Newark,Men's Street Footwear,34,133,4522,Online
P005,Sports Direct,2021-06-09 00:00:00,Southeast,South Carolina,Charleston,Men's Apparel,45,625,28125,Online
R007,West Gear,2021-06-10 00:00:00,West,California,San Francisco,Women's Street Footwear,52,233,12116,Online
D002,Foot Locker,2021-06-10 00:00:00,West,Hawaii,Honolulu,Men's Street Footwear,59,130,7670,Online
P006,Foot Locker,2021-06-10 00:00:00,Midwest,Nebraska,Omaha,Men's Apparel,45,13,585,Online
P005,Kohl's,2021-06-11 00:00:00,West,California,Los Angeles,Women's Apparel,65,700,45500,Outlet
K005,Sports Direct,2021-06-11 00:00:00,West,Hawaii,Honolulu,Women's Athletic Footwear,47,77,3619,Online
R004,West Gear,2021-06-11 00:00:00,South,Louisiana,New Orleans,Women's Apparel,45,350,15750,In-store
K006,Foot Locker,2021-06-11 00:00:00,Northeast,Rhode Island,Providence,Women's Apparel,25,58,1450,Outlet
R004,West Gear,2021-06-11 00:00:00,West,Washington,Seattle,Women's Apparel,62,113,7006,Online
A012,Sports Direct,2021-06-12 00:00:00,South,Texas,Dallas,Women's Street Footwear,30,215,6450,Outlet
S004,Foot Locker,2021-06-13 00:00:00,Southeast,South Carolina,Charleston,Men's Street Footwear,51,273,13923,Online
S003,West Gear,2021-06-14 00:00:00,West,Nevada,Las Vegas,Men's Street Footwear,28,123,3444,Online
N002,Sports Direct,2021-06-14 00:00:00,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,34,160,5440,Online
P008,Foot Locker,2021-06-14 00:00:00,Northeast,Pennsylvania,Philadelphia,Women's Apparel,44,68,2992,Online
P001,Sports Direct,2021-06-15 00:00:00,Northeast,Massachusetts,Boston,Men's Apparel,39,74,2886,Outlet
M003,West Gear,2021-06-15 00:00:00,West,Nevada,Las Vegas,Men's Street Footwear,48,233,11184,Outlet
